Kontonummer;Kontobezeichnung;BeraterNr;MandantenNr;Wirtschaftsjahr;Gebucht bis;Saldo JVZ;EB-Wert;MVZ1;MVZ2;MVZ3;MVZ4;MVZ5;MVZ6;MVZ7;MVZ8;MVZ9;MVZ10;MVZ11;MVZ12
210;"Maschinen";58476;17006;2022;31.07.2022;-1807,00;-1529,00;-139,00;-139,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
420;"Büroeinrichtung";58476;17006;2022;31.07.2022;18,20;18,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
450;"Einbauten in fremde Grundstücke";58476;17006;2022;31.07.2022;-379,16;-320,83;-29,16;-29,17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
480;"Geringwertige Wirtschaftsgüter";58476;17006;2022;31.07.2022;47,08;47,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
490;"Sonstige Betriebs-u.Gesch.ausstattung";58476;17006;2022;31.07.2022;-323,21;-516,40;241,61;-48,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1000;"Kasse";58476;17006;2022;31.07.2022;-9590,00;-9590,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1001;"Barzahlung";58476;17006;2022;31.07.2022;-219464,58;-156406,79;-30425,41;-36139,51;6281,48;-58592,73;32036,30;7091,14;16690,94;0,00;0,00;0,00;0,00;0,00
1200;"Berl. Sparkasse 6603199333";58476;17006;2022;31.07.2022;-176197,82;-144697,39;-12052,21;19056,57;-24153,04;16024,93;32121,99;-13725,07;-48773,60;0,00;0,00;0,00;0,00;0,00
1230;"Sparkasse  Mietkaution Kto ..6076";58476;17006;2022;31.07.2022;4351,89;4351,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1360;"Geldtransit";58476;17006;2022;31.07.2022;-12764,75;-39569,61;-3131,31;329,07;6855,82;-3487,05;26891,37;2506,19;-3159,23;0,00;0,00;0,00;0,00;0,00
1400;"Forderungen aus L+L";58476;17006;2022;31.07.2022;180860,98;148710,98;21880,00;0,00;10790,00;250,00;10740,00;-20000,00;8490,00;0,00;0,00;0,00;0,00;0,00
1500;"Sonstige Vermögensgegenstände";58476;17006;2022;31.07.2022;-1059,12;-1059,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1520;"Forderungen ggb. Krankenkasse aus AAG";58476;17006;2022;31.07.2022;659,01;329,03;162,58;0,00;0,00;0,00;0,00;0,00;167,40;0,00;0,00;0,00;0,00;0,00
1525;"Kautionen";58476;17006;2022;31.07.2022;-4352,24;;0,00;0,00;0,00;-4352,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1530;"Forderg. gg. Personal Lohn- und Gehalt";58476;17006;2022;31.07.2022;12,59;12,59;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1544;"Forderung gegenüber Bundesagentur";58476;17006;2022;31.07.2022;333,66;333,66;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1564;"Aufzuteilende Vorsteuer 5%";58476;17006;2022;31.07.2022;1,60;;0,00;0,00;1,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1570;"Abziehbare Vorsteuer";58476;17006;2022;31.07.2022;33,60;;0,00;1,81;11,57;20,22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1571;"Abziehbare Vorsteuer 7%";58476;17006;2022;31.07.2022;21,67;;2,98;4,79;4,79;3,59;5,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1576;"Abziehbare Vorsteuer 19%";58476;17006;2022;31.07.2022;39349,14;;3816,23;2726,24;10523,71;5945,89;6583,50;4611,01;5142,56;0,00;0,00;0,00;0,00;0,00
1577;"Abziehbare Vorsteuer § 13b UStG 19%";58476;17006;2022;31.07.2022;49,58;;5,92;0,00;23,91;0,00;4,74;0,00;15,01;0,00;0,00;0,00;0,00;0,00
1590;"Durchlaufende Posten";58476;17006;2022;31.07.2022;8342,51;-3896,48;18000,00;0,00;-73,10;0,00;-13260,82;4612,86;2960,05;0,00;0,00;0,00;0,00;0,00
1591;"Ungeklärte Posten";58476;17006;2022;31.07.2022;-29224,73;;0,00;0,00;0,00;0,00;-29224,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00
1592;"Fremdgeld";58476;17006;2022;31.07.2022;1397,00;;361,00;-274,00;0,00;262,00;655,00;393,00;0,00;0,00;0,00;0,00;0,00;0,00
1600;"Verbindlichkeiten aus Lieferungen+Leist.";58476;17006;2022;31.07.2022;-60102,33;-17785,77;3953,00;-491,76;58,47;-860,66;-7179,64;-92847,16;55051,19;0,00;0,00;0,00;0,00;0,00
